prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine;N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine;Hair dye products;0%
N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine;N1-(2-Hydroxyethyl)-4-nitro-o-phenylenediamine;Hair dye products;0%
N-Methyl-3-nitro-p-phenylenediamine;N-Methyl-3-nitro-p-phenylenediamine;Hair dye products;0%
N-Methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine;N-Methyl-1,4-diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine;Hair dye products;0%
N-Cyclopentyl-m-Aminophenol;N-Cyclopentyl-m-Aminophenol;Hair dye products;0%
N-[6-[(2-Chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide;N-[6-[(2-Chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide;Hair dye products;0%
N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide;N-(5-Chloro-2,4-dimethoxyphenyl)-4-[[5-[(diethylamino)sul-phonyl]-2-methoxyphenyl]azo]-3-hydroxynaphthalene-2-carbo-xamide;Hair dye products;0%
N-(2-Methoxyethyl)benzene-1,4-diamine dihydrochloride;N-(2-Methoxyethyl)benzene-1,4-diamine dihydrochloride;Hair dye products;0%
N-(2-Methoxyethyl)-p-phenylenediamine;N-(2-Methoxyethyl)-p-phenylenediamine;Hair dye products;0%
N,N-Dimethyl-p-phenylenediamine sulphate;N,N-Dimethyl-p-phenylenediamine sulphate;Hair dye products;0%
N,N-Dimethyl-p-phenylenediamine;N,N-Dimethyl-p-phenylenediamine;Hair dye products;0%
N,N-Dimethyl-2,6-Pyridinediamine and its HCl salt;N,N-Dimethyl-2,6-Pyridinediamine and its HCl salt;Hair dye products;0%
N,N-Diethyl-p-phenylenediamine;N,N-Diethyl-p-phenylenediamine;Hair dye products;0%
